Year,Sport,Country,Medals
2022,Modern Pentathlon,Great Britain,3
2022,Modern Pentathlon,Lithuania,3
2022,Modern Pentathlon,Australia,1
2022,Nordic Combined,Germany,9
2022,Nordic Combined,Norway,9
2022,Nordic Combined,Japan,4
2022,Rhythmic Gymnastics,ROC,2
2022,Rhythmic Gymnastics,Belarus,1
2022,Rhythmic Gymnastics,Bulgaria,1
2022,Rowing,Great Britain,19
2022,Rowing,New Zealand,14
2022,Rowing,Australia,13
2022,Rugby,Australia,1
2022,Rugby,Canada,1
2022,Rugby,Fiji,1
2022,Rugby Sevens,Fiji,2
2022,Rugby Sevens,New Zealand,2
2022,Rugby Sevens,Argentina,1
2022,Sailing,Great Britain,17
2022,Sailing,Australia,11
2022,Sailing,France,10
2022,Shooting,People's Republic of China,29
2022,Shooting,United States of America,17
2022,Shooting,Italy,11
2022,Short Track,Canada,5
2022,Short Track,Republic of Korea,4
2022,Short Track,Italy,3
2022,Short Track Speed Skating,People's Republic of China,10
2022,Short Track Speed Skating,Republic of Korea,10
2022,Short Track Speed Skating,Canada,7
2022,Skateboarding,Japan,5
2022,Skateboarding,Brazil,3
2022,Skateboarding,United States of America,2
2022,Skeleton,Germany,4
2022,Skeleton,Great Britain,2
2022,Skeleton,Russian Federation,2
2022,Ski Jumping,Germany,9
2022,Ski Jumping,Norway,7
2022,Ski Jumping,Slovenia,6
2022,Snowboard,United States of America,16
2022,Snowboard,Canada,12
2022,Snowboard,Austria,7
2022,Softball,Australia,1
2022,Softball,Japan,1
2022,Softball,United States of America,1
2022,Speed skating,Netherlands,49
2022,Speed skating,Republic of Korea,13
2022,Speed skating,Japan,11
2022,Sport Climbing,Japan,2
2022,Sport Climbing,Austria,1
2022,Sport Climbing,Slovenia,1
2022,Surfing,Japan,2
2022,Surfing,Australia,1
2022,Surfing,South Africa,1
2022,Swimming,United States of America,92
2022,Swimming,Australia,53
2022,Swimming,People's Republic of China,26
2022,Synchronized Swimming,People's Republic of China,4
2022,Synchronized Swimming,Spain,3
2022,Synchronized Swimming,Japan,2
2022,Table Tennis,People's Republic of China,13
2022,Table Tennis,Japan,7
2022,Table Tennis,Germany,5
2022,Taekwondo,Republic of Korea,11
2022,Taekwondo,Great Britain,7
2022,Taekwondo,People's Republic of China,5
2022,Tennis,Czech Republic,5
2022,Tennis,Russian Federation,4
2022,Tennis,Spain,4
2022,Trampoline,People's Republic of China,5
2022,Trampoline,Canada,2
2022,Trampoline,Belarus,1
2022,Trampoline Gymnastics,People's Republic of China,3
2022,Trampoline Gymnastics,Belarus,1
2022,Trampoline Gymnastics,Great Britain,1
2022,Triathlon,Great Britain,6
2022,Triathlon,United States of America,3
2022,Triathlon,Australia,2
2022,Volleyball,Brazil,4
2022,Volleyball,United States of America,4
2022,Volleyball,Italy,2
2022,Water Polo,Hungary,3
2022,Water Polo,Italy,3
2022,Water Polo,Serbia,3
2022,Weightlifting,People's Republic of China,22
2022,Weightlifting,Democratic People's Republic of Korea,10
2022,Weightlifting,Indonesia,9
2022,Wrestling,Russian Federation,30
2022,Wrestling,Japan,24
2022,Wrestling,Azerbaijan,21
